trimestre,pib_real_yoy,umbral_pib_mediana40,ipc_yoy,umbral_ipc_mediana40,caja_principal,caja_alternativa_media40,cerca_umbral
1958Q1,-2.872,3.685,3.456,1.414,4,4,0
1958Q2,-2.020,3.685,3.272,1.414,4,4,0
1958Q3,-0.726,3.407,2.300,1.414,4,4,0
1958Q4,2.657,3.145,1.913,1.414,4,3,1
1959Q1,7.415,3.061,0.893,1.414,1,1,1
1959Q2,9.119,3.145,0.392,1.348,1,1,0
1959Q3,6.726,3.407,0.968,1.348,1,1,1
1959Q4,4.585,3.685,1.474,1.348,2,1,1
1960Q1,4.924,4.179,1.391,1.459,1,1,1
1960Q2,2.059,4.754,1.825,1.459,4,3,1
1960Q3,2.488,4.091,1.359,1.650,3,3,1
1960Q4,0.885,3.407,1.396,1.459,3,3,1
1961Q1,-0.668,3.145,1.508,1.420,4,3,1
1961Q2,1.566,3.061,0.868,1.420,3,3,0
1961Q3,3.012,2.889,1.205,1.394,1,3,1
1961Q4,6.397,2.870,0.705,1.375,1,1,0
1962Q1,7.569,2.870,0.894,1.305,1,1,0
1962Q2,6.730,2.870,1.307,1.229,2,1,1
1962Q3,6.007,2.870,1.202,1.229,1,1,1
1962Q4,4.310,3.031,1.300,1.204,2,1,1
1963Q1,3.601,3.031,1.229,1.204,2,1,1
1963Q2,3.825,3.031,1.037,1.217,1,1,1
1963Q3,4.819,3.031,1.364,1.217,2,2,1
1963Q4,5.160,3.031,1.393,1.241,2,2,1
1964Q1,6.217,3.061,1.487,1.276,2,2,1
1964Q2,6.182,3.145,1.463,1.304,2,2,1
1964Q3,5.521,3.409,1.074,1.333,1,1,0
1964Q4,5.158,3.713,1.266,1.333,1,1,1
1965Q1,5.478,4.067,1.164,1.333,1,1,1
1965Q2,5.660,4.067,1.646,1.333,2,2,0
1965Q3,6.347,4.067,1.718,1.361,2,2,0
1965Q4,8.462,4.067,1.785,1.377,2,2,0
1966Q1,8.477,4.067,2.418,1.392,2,2,0
1966Q2,7.489,4.447,2.689,1.395,2,2,0
1966Q3,6.042,4.702,3.272,1.429,2,2,0
1966Q4,4.504,4.871,3.570,1.429,4,2,1
1967Q1,2.925,4.871,2.871,1.429,4,4,0
1967Q2,2.638,4.871,2.567,1.429,4,4,0
1967Q3,2.739,4.871,2.708,1.429,4,4,0
1967Q4,2.671,4.871,2.990,1.429,4,4,0
1968Q1,3.845,4.871,3.741,1.429,4,4,0
1968Q2,5.515,4.871,4.121,1.429,2,2,0
1968Q3,5.335,5.041,4.478,1.429,2,2,1
