activo,caja,nombre_caja,trimestres,M1_nominal_anual,M2_real_anual,inflacion_anual,M4_episodios_gana,M4_episodios_total
Motor,1,Crec. fuerte + infl. baja,83,0.14412,0.11687,0.02440,0,0
Motor,2,Crec. fuerte + infl. alta,63,0.08950,0.04373,0.04385,0,0
Motor,3,Crec. débil + infl. baja,60,0.16218,0.13781,0.02141,0,0
Motor,4,Crec. débil + infl. alta,67,0.05049,-0.00849,0.05948,0,0
Consumo,1,Crec. fuerte + infl. baja,83,0.15224,0.12480,0.02440,10,14
Consumo,2,Crec. fuerte + infl. alta,63,0.05008,0.00597,0.04385,3,12
Consumo,3,Crec. débil + infl. baja,60,0.18328,0.15848,0.02141,7,14
Consumo,4,Crec. débil + infl. alta,67,0.10004,0.03828,0.05948,9,11
Salud,1,Crec. fuerte + infl. baja,83,0.13996,0.11281,0.02440,8,14
Salud,2,Crec. fuerte + infl. alta,63,0.09413,0.04817,0.04385,6,12
Salud,3,Crec. débil + infl. baja,60,0.15471,0.13050,0.02141,8,14
Salud,4,Crec. débil + infl. alta,67,0.10244,0.04054,0.05948,7,11
SmallCap,1,Crec. fuerte + infl. baja,83,0.13562,0.10857,0.02440,7,14
SmallCap,2,Crec. fuerte + infl. alta,63,0.10337,0.05701,0.04385,6,12
SmallCap,3,Crec. débil + infl. baja,60,0.19137,0.16639,0.02141,9,14
SmallCap,4,Crec. débil + infl. alta,67,0.09832,0.03666,0.05948,6,11
Valor,1,Crec. fuerte + infl. baja,83,0.15470,0.12720,0.02440,10,14
Valor,2,Crec. fuerte + infl. alta,63,0.14423,0.09616,0.04385,9,12
Valor,3,Crec. débil + infl. baja,60,0.19435,0.16931,0.02141,10,14
Valor,4,Crec. débil + infl. alta,67,0.09950,0.03777,0.05948,7,11
Monetario,1,Crec. fuerte + infl. baja,83,0.04131,0.01651,0.02440,0,14
Monetario,2,Crec. fuerte + infl. alta,63,0.03890,-0.00474,0.04385,6,12
Monetario,3,Crec. débil + infl. baja,60,0.03489,0.01320,0.02141,2,14
Monetario,4,Crec. débil + infl. alta,67,0.05544,-0.00382,0.05948,5,11
Oro,1,Crec. fuerte + infl. baja,68,-0.00796,-0.03417,0.02714,1,11
Oro,2,Crec. fuerte + infl. alta,49,0.11595,0.06466,0.04817,3,9
Oro,3,Crec. débil + infl. baja,53,0.10524,0.08064,0.02276,4,13
Oro,4,Crec. débil + infl. alta,48,0.17794,0.10454,0.06646,6,8
