activo,caja,nombre_caja,trimestres,M1_nominal_anual,M2_real_anual,inflacion_anual,M4_episodios_gana,M4_episodios_total
Motor,1,Crec. fuerte + infl. baja,63,0.12357,0.09827,0.02304,0,0
Motor,2,Crec. fuerte + infl. alta,63,0.10178,0.05543,0.04392,0,0
Motor,3,Crec. débil + infl. baja,61,0.18036,0.15758,0.01968,0,0
Motor,4,Crec. débil + infl. alta,86,0.06395,0.00953,0.05391,0,0
Consumo,1,Crec. fuerte + infl. baja,63,0.12241,0.09713,0.02304,10,13
Consumo,2,Crec. fuerte + infl. alta,63,0.06808,0.02315,0.04392,4,12
Consumo,3,Crec. débil + infl. baja,61,0.20954,0.18620,0.01968,8,13
Consumo,4,Crec. débil + infl. alta,86,0.10129,0.04496,0.05391,8,12
Salud,1,Crec. fuerte + infl. baja,63,0.11667,0.09152,0.02304,7,13
Salud,2,Crec. fuerte + infl. alta,63,0.11122,0.06447,0.04392,6,12
Salud,3,Crec. débil + infl. baja,61,0.16029,0.13789,0.01968,6,13
Salud,4,Crec. débil + infl. alta,86,0.11084,0.05402,0.05391,7,12
SmallCap,1,Crec. fuerte + infl. baja,63,0.10456,0.07969,0.02304,6,13
SmallCap,2,Crec. fuerte + infl. alta,63,0.11323,0.06640,0.04392,6,12
SmallCap,3,Crec. débil + infl. baja,61,0.22092,0.19736,0.01968,10,13
SmallCap,4,Crec. débil + infl. alta,86,0.10188,0.04552,0.05391,7,12
Valor,1,Crec. fuerte + infl. baja,63,0.12346,0.09816,0.02304,7,13
Valor,2,Crec. fuerte + infl. alta,63,0.15917,0.11041,0.04392,8,12
Valor,3,Crec. débil + infl. baja,61,0.21479,0.19135,0.01968,10,13
Valor,4,Crec. débil + infl. alta,86,0.10942,0.05267,0.05391,9,12
Monetario,1,Crec. fuerte + infl. baja,63,0.04012,0.01670,0.02304,1,13
Monetario,2,Crec. fuerte + infl. alta,63,0.04139,-0.00242,0.04392,5,12
Monetario,3,Crec. débil + infl. baja,61,0.03262,0.01269,0.01968,1,13
Monetario,4,Crec. débil + infl. alta,86,0.05304,-0.00082,0.05391,6,12
Oro,1,Crec. fuerte + infl. baja,51,-0.02195,-0.04659,0.02584,2,10
Oro,2,Crec. fuerte + infl. alta,47,0.09314,0.04028,0.05081,3,8
Oro,3,Crec. débil + infl. baja,58,0.09806,0.07628,0.02024,4,12
Oro,4,Crec. débil + infl. alta,62,0.16590,0.09988,0.06003,7,9
