clasificador,metodo_precio,caja,trimestres,M1_nominal,M2_real,M3_pp_vs_motor,M4_gana,M4_total
PRINCIPAL (mediana 40T),cierre,1,51,-0.02282,-0.04744,-15.131,2,10
PRINCIPAL (mediana 40T),cierre,2,47,0.14702,0.09155,3.418,4,8
PRINCIPAL (mediana 40T),cierre,3,58,0.10552,0.08359,-8.018,5,12
PRINCIPAL (mediana 40T),cierre,4,62,0.11191,0.04894,7.342,7,9
PRINCIPAL (mediana 40T),media,1,51,-0.02195,-0.04659,-15.046,2,10
PRINCIPAL (mediana 40T),media,2,47,0.09314,0.04028,-1.709,3,8
PRINCIPAL (mediana 40T),media,3,58,0.09806,0.07628,-8.749,4,12
PRINCIPAL (mediana 40T),media,4,62,0.16590,0.09988,12.436,7,9
ALTERNATIVA (media 10a),cierre,1,68,-0.00348,-0.02981,-16.282,3,11
ALTERNATIVA (media 10a),cierre,2,49,0.14440,0.09181,5.929,4,9
ALTERNATIVA (media 10a),cierre,3,53,0.11642,0.09157,-3.686,6,13
ALTERNATIVA (media 10a),cierre,4,48,0.12035,0.05054,8.217,6,8
ALTERNATIVA (media 10a),media,1,68,-0.00796,-0.03417,-16.719,1,11
ALTERNATIVA (media 10a),media,2,49,0.11595,0.06466,3.214,3,9
ALTERNATIVA (media 10a),media,3,53,0.10524,0.08064,-4.780,4,13
ALTERNATIVA (media 10a),media,4,48,0.17794,0.10454,13.618,6,8
